file,seq,mode,output,quality
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,1,qa,"To determine the number of planes in the frame, we need to carefully observe the image and identify any objects that resemble planes",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,2,qa,"To determine the number of planes in the frame, we need to carefully examine the image provided. The image shows a single",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,3,qa,"To determine the number of planes in the frame, we need to carefully observe the image and identify the objects present.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,4,qa,"To determine the number of planes in the frame, we need to carefully examine the image provided. The image shows a cloudy",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,5,qa,"To determine the number of planes in the frame, we need to carefully examine the image provided. The image shows a cloudy",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,6,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count the distinct objects that resemble",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,7,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,8,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,9,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,10,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each distinct plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,11,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,12,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,13,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,14,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,15,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,16,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,17,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,18,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,19,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,20,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,21,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,22,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,23,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,24,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual plane.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,25,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,26,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,27,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,28,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,29,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,30,qa,There are nine planes in the frame.,
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,31,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,32,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-qa-2026-06-08T14-19-37-223Z.csv,33,qa,"To determine the number of planes in the frame, we need to carefully observe the image and count each individual aircraft.",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,1,event,"To determine if any of these events is happening, we need to analyze the image provided. The image shows a kite flying",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,2,event,"To determine if any of these happen, we need to analyze the image and the context provided.

1. **Observation",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,3,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,4,event,"To determine if any of these events is happening, we need to analyze the image provided. The image shows a person flying",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,5,event,"To determine if any of these actions are happening, we need to analyze the image provided. The image shows a person flying",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,6,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,7,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,8,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,9,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,10,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,11,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,12,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,13,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,14,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,15,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,16,event,"The image depicts a group of fighter jets performing a formation flyby, which is a common practice in air shows or military",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,17,event,"The image depicts a group of airplanes performing a formation in the sky, releasing colored smoke trails. This is a common sight",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,18,event,"The image depicts a group of airplanes performing a formation flyby, which is a common sight during air shows or military demonstrations",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,19,event,"The image depicts a group of four airplanes performing a formation in the sky. The planes are flying in a coordinated pattern,",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,20,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,21,event,"The image depicts a group of four jets flying in formation, leaving a trail of colored smoke. The smoke trails are red",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,22,event,"The image depicts a group of airplanes performing a formation flyby, which is a common sight during air shows or military demonstrations",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,23,event,"The image depicts a group of four airplanes flying in formation, leaving trails of red, white, and blue smoke. This",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,24,event,"The image depicts a group of four jets flying in formation, leaving red and blue smoke trails. There is no visible person",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,25,event,"To determine if any of these actions are happening, we need to analyze the image provided. The image shows a group of",
fastvlm-event-2026-06-08T14-21-00-855Z.csv,26,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,27,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,28,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,29,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,30,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,31,event,none,
fastvlm-event-2026-06-08T14-21-00-855Z.csv,32,event,none,
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,1,caption,"The image captures a vibrant kite soaring high in the sky, its red and blue streamers creating a striking contrast against the backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,2,caption,"The image captures a vibrant kite soaring high in the sky, its long tail streaming behind it, set against a backdrop of a cloudy sky and distant trees.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,3,caption,"The image captures a jet airplane performing a loop maneuver in the sky, leaving a trail of red and blue smoke, with a backdrop of a cloudy sky and distant trees.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,4,caption,"The image captures a jet flying through a cloudy sky, with its trail of smoke or vapor trailing behind it, creating a dynamic and somewhat ethereal visual effect.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,5,caption,"The image captures a red and white airplane flying through a cloudy sky, with the aircraft's trail visible against the backdrop of the overcast weather.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,6,caption,"The image captures a formation of planes flying in a tight, coordinated pattern, leaving trails of red and white smoke in the sky, creating a visually striking display.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,7,caption,"The image captures a vibrant display of red and blue smoke trails, creating a striking visual effect against a backdrop of a cloudy sky, with a distant hill visible at the bottom.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,8,caption,"The image captures a formation of planes flying in a V-shape, leaving trails of smoke in the sky, with one plane positioned at the front and the others following behind, creating a visually striking display",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,9,caption,"The image captures a formation of aircraft flying in a diagonal line, leaving trails of smoke behind them, set against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,10,caption,"The image captures a formation of aircraft flying in a diagonal line, leaving a trail of smoke, set against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,11,caption,"The image captures a formation of planes flying in a diagonal line, leaving trails of smoke behind them, set against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,12,caption,"The image captures a formation of planes flying in a diagonal line, leaving trails of red and blue smoke against a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,13,caption,"The image captures a formation of planes flying in a diagonal line, leaving trails of red and white smoke against a backdrop of gray clouds.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,14,caption,"The image captures a formation of planes flying in a diagonal line, leaving trails of red and blue smoke, set against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,15,caption,"The image captures a formation of four planes flying in a diagonal line, leaving trails of red and white smoke against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,16,caption,"The image captures a formation of four fighter jets flying in a diamond pattern, leaving red and white smoke trails in the sky, creating a visually striking display.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,17,caption,"The image captures a formation of six airplanes flying in a diamond pattern, leaving trails of red and white smoke in the sky, creating a visually striking display.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,18,caption,"The image captures a formation of six airplanes flying in a diamond pattern, leaving trails of red and white smoke in the sky, creating a visually striking display.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,19,caption,"The image captures a formation of four airplanes flying in a diamond pattern, leaving trails of red and blue smoke against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,20,caption,"The image captures a formation of nine planes flying in a diamond pattern, leaving trails of red and white smoke, against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,21,caption,"The image captures a dynamic aerial display featuring nine black jets, each leaving a distinct trail of smoke in vibrant hues of red, white, and blue, creating a visually striking pattern against the backdrop of a",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,22,caption,"The image captures a spectacular aerial display featuring nine jets flying in a tight formation, leaving vibrant trails of red, white, and blue smoke in their wake, creating a visually stunning spectacle against a backdrop of",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,23,caption,"The image captures a formation of four airplanes flying in a diamond pattern, leaving trails of red and blue smoke against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,24,caption,"The image captures a formation of nine black jets flying in a diagonal line, leaving red and blue smoke trails behind them, set against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,25,caption,"The image captures a formation of six fighter jets flying in a diamond pattern, leaving trails of smoke in the sky, with the sky appearing overcast.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,26,caption,"The image captures a formation of nine fighter jets flying in a diagonal line, leaving trails of smoke behind them, against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,27,caption,"The image captures a formation of nine fighter jets flying in a V-shape, with the lead jet positioned at the front and the last jet at the back, all set against a backdrop of a cloudy",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,28,caption,"The image captures a formation of nine fighter jets flying in a V-shape, with the lead jet positioned at the front and the last jet at the back, all set against a backdrop of a cloudy",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,29,caption,"The image captures a formation of six fighter jets flying in a V-shape, with the lead jet positioned at the front and the last jet at the back, all set against a backdrop of a cloudy",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,30,caption,"The image captures a formation of nine fighter jets flying in a V-shape, with the lead jet positioned at the front and the last jet at the back, against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,31,caption,"The image captures a formation of six fighter jets flying in a V-shape, with the lead jet positioned at the front and the last jet at the back, against a backdrop of a cloudy sky.",
fastvlm-caption-2026-06-08T14-17-58-931Z.csv,32,caption,"The image captures a person parachuting through the sky, leaving a trail of red and blue smoke, with a backdrop of a cloudy sky and distant trees.",
